hindi,english
के,The
है,is
में,In
की,Of
से,From
और,And
का,Of
को,To
हैं,Huh
पर,On
भी,Too
नहीं,No
कि,That
एक,One
ही,Only
हो,Ho
तो,so
यह,this
था,Was
ने,has
इस,this
लिए,for
कर,Tax
वह,that
किया,did
गया,Gone
तथा,And
करने,To
जो,that
अपने,Ours
थे,Were
थी,was
न,not
कुछ,some
जाता,go
साथ,with
या,or
तक,till
होता,Happen
दिया,gave
जा,Going
रहा,Stayed
मैं,I
कोई,someone
वे,They
हुए,The
रूप,form
किसी,Any
हुआ,Happened
उसे,Him
बात,talk
द्वारा,by
समय,Time
उसके,his
क्या,what
कहा,said
गई,Went
प्रकार,type
अपनी,mine
करते,do
उस,That
रहे,are
एवं,And
होती,The
सकता,can
जब,when
रही,doing
बहुत,very
अधिक,more
होने,Having
जाती,Are
दो,two
तरह,Kind
बाद,after
इन,In
कारण,reason
फिर,Again
हुई,Hui
करना,do
हम,We
उनके,Their
अब,Now
वाले,With
चाहिए,needed
जाने,To
कार्य,Work
लेकिन,but
करता,Offers
गये,Added
इसके,Its
काम,work
ओर,And
आदि,e.t.c
वर्ष,The year
दी,The
प्राप्त,get
पहले,first
उसकी,Her
विकास,development
आ,come
जैसे,like
आप,you
होते,Are
भारत,India
सरकार,Government
जी,G
उन्हें,them
दिन,day
कम,Less
ये,these
जीवन,life
क्षेत्र,Area
कभी,sometimes
लोग,People
:,:
देश,Country
उसने,He
मुझे,me
जाते,Are
दोनों,Both
बार,times
अन्य,other
आज,today
व,and
होगा,Will happen
गयी,Added
गए,went
उसका,His
यदि,If
उनकी,Their
पास,near
सभी,All
घर,House
लिया,took
इसी,Similar
सब,All
लोगों,People
लिये,To
तब,Then
उन्होंने,They
नाम,Name
हूं,I
ऐसे,So
ऐसा,Like this
अपना,ours
दूसरे,Others
लगा,felt
केवल,In college
राज्य,state
उन,Those
सकते,Can
करके,By
ले,Take
व्यक्ति,person
तुम,you
श्री,Mr
मे,On
मेरे,my
भारतीय,Indian
प्रति,Per
वाली,By
दे,Give
सी,C
सकती,Can
ऐसी,Such
करती,The
विशेष,special
देने,To
प्रयोग,Experiment
क्योंकि,Because
कई,many
हाथ,hand
विभिन्न,Different
बीच,between
स्थिति,Event
उनका,Their
मन,Mind
हमारे,our
इसलिए,Hence
भाषा,Language
इसका,its
बड़े,Large
व्यवस्था,the arrangement
तीन,three
अथवा,Or
बड़ी,Great
विचार,idea
लाख,lakh
परन्तु,But
यहां,Here
योजना,Plan
वहां,There
अलग,Apart
भाग,run
ठीक,Fine
जिस,The
मैंने,I
अनेक,Several
अनुसार,accordingly
पानी,Water
आधार,base
यही,This only
हूँ,I
किन्तु,But
अभी,now
स्थान,place
किए,The
किये,Reply
तैयार,ready
उत्पादन,production
देखा,saw
शिक्षा,Education
उसी,At the same
ध्यान,Care
सामने,Front
क्यों,Why
रहता,Stays
प्रदेश,Region
समाज,society
बारे,About
लेकर,With
इसमें,in this
कहीं,somewhere
बना,Make
उत्तर,answer
होकर,Through
हर,every
दृष्टि,vision
थीं,Was
आया,He Came
बन,become
आवश्यक,Required
रह,Stay
जाना,go
होना,Happen
बाहर,outside
मेरी,Mine
आगे,ahead
सम्बन्ध,Relationship
देते,Currently
काफी,enough
कहते,Says
विषय,Subject
सिंह,Lion
दौरान,During
दूर,away
निर्माण,Construction
मुख्य,Main
ऊपर,up
सहायता,help
नही,no
पता,Know
रुपये,Rupees
जिसमें,Which
अध्ययन,study
पूर्व,East
इससे,by this
सबसे,from all
लगभग,Almost
कार्यक्रम,program
अगर,if
प्रतिशत,Percent
अत:,"Therefore,"
राजा,King
पत्र,Letter
बड़ा,big
उपयोग,Use
होगी,Will
स्वयं,Self
सके,Could
लगता,Think
इसे,him
मात्रा,Quantity
जाए,Things
हमें,Us
आने,Incoming
चार,Four
जल,water
मिल,Mill
प्रत्येक,Everyone
ज्ञान,Knowledge
आदमी,man
शुरू,Beginning
देना,give
अर्थ,meaning
लगे,Engaged
पूरा,whole
धर्म,religion
जहां,where
आर्थिक,Economic
देता,Returns
यहाँ,here
करोड़,Million
शब्द,word
बिना,without
वाला,The
रहते,Live
मनुष्य,humans
उसमें,in that
राष्ट्रीय,National
क्षेत्रों,Areas
सामाजिक,Social
प्रभाव,effect
शरीर,the body
स्तर,Level
पूरी,Complete
स्पष्ट,clear
शक्ति,Power
जिससे,Which
भर,Filled
मेरा,my
दिल्ली,Delhi
उससे,More
संख्या,Number
करें,Make
इतना,this much
आवश्यकता,requirement
रहती,Live
बनाने,Make
अतिरिक्त,Apart from
साहित्य,Literature
चाहता,Wants
भूमि,Earth
नीचे,bottom
समिति,Committee
दूसरी,Second
विज्ञान,Science
साहब,Sir
रखा,Placed
कैसे,how
छोटे,Small
अच्छा,good
चित्र,picture
लगी,Started
ज्यादा,more
सा,Sa
विभाग,Department
कृषि,Agriculture
पड़ता,Has
रात,night
उत्पन्न,Generated
इसकी,his
कह,Saying
रहने,Stay
धीरे,Slow
देख,See
कौन,Who
पड़ा,Had
आई,IPhone
काल,period
स्थापित,Established
टन,Ton
महत्वपूर्ण,Significant
गांव,Village
उद्योग,Industry
हों,When
वृद्धि,Growth
लाभ,Benefit
परिवार,family
अच्छी,good
चल,Movable
प्रदान,Provided
वर्ग,category
पूर्ण,complete
पिता,Father
सामान्य,Normal
पीछे,behind
चला,walked
ई,E
नई,New
लोक,Region
आता,Comes
वहाँ,there
लेने,Take
प्रश्न,questions
मानव,human
हिन्दी,Hindi
जनता,public
अन्तर्गत,Under
जिसके,Which
साल,year
तरफ,Side
प्रमुख,Chief
हमारी,Our
समान,same
देती,Offers
भाई,brother
रंग,colour
विश्वास,believe
दिनों,Days
उपलब्ध,available
जाय,Should
भिन्न,Different
अनुभव,experience
वही,the same
रोग,Disease
सेवा,Service
उनमें,In those
संबंध,relation
समझ,understand
केन्द्र,Center
हेतु,For
समस्या,Problem
पी,P
नीति,Policy
प्रस्तुत,Submitted
बताया,Told
आपको,you
आते,Come
भाव,Emotion
आये,Came
कहना,tell
मूल्य,value
ली,Lee
मिला,met
बच्चे,children
मंत्री,Minister
सरकारी,Government
भीतर,In
देर,late
कुल,Aggregate
लिखा,Wrote
जिसे,Which
केन्द्रीय,Central
कमी,Reduction
उद्देश्य,an objective
स्त्री,Female
दिये,On
कला,art
बातें,Things
किस,kiss
सही,right
प्रथम,First
जाये,Should
जगह,place
माध्यम,Medium
इतनी,So much
देशों,Countries
रुप,Featured
उचित,Suitable
स्वीकार,Acceptance
पैदा,Cause
गांधी,Gandhi
पुलिस,police
माना,agreed
बिजली,Lightning
नये,New
राम,RAM
इतिहास,History
रखने,Keep
मगर,but
जबकि,whereas
शायद,Maybe
मिलता,Get
देखने,View
शामिल,Include
वस्तु,thing
ए,a
क्षमता,Capacity
आती,Arrival
ढेल्हि,Delhi
जारी,Ongoing
बल्कि,Rather
मूल,Original
टो,Tor
परिवर्तन,Change
जैसा,As
चुका,Has
संस्कृति,culture
माल,goods
ताकि,So
कविता,poem
प्रणाली,system
वैज्ञानिक,Scientist
मत,Not
देखते,Given
व्यवहार,Behavior
लेते,Taking
रख,Keep
प्रयास,Effort
देखकर,After seeing
प्रक्रिया,process
सिर,Head
प्रशिक्षण,Training
दर्शन,visit
इनके,They
जहाँ,Where
निश्चित,Fixed
बच्चों,Children
जन्म,Birth
विश्व,world
जिन,Gin
पत्नी,wife
बस,enough
चाहते,Want
दूसरा,Second
सन्,In
बल,Force
चाहे,Even if
समाप्त,End
बालक,Boy
सारे,all
युद्ध,War
परियोजना,Assignment or Project
स्वर,Vowel
रचना,Formation
सूचना,information
मध्य,Middle
जमीन,land
जाएगा,Will
स्थापना,Installation
संघ,Union
अनुसंधान,Research
विवाह,marriage
पाया,had got
विधि,Method
बढ़,Increases
ग्रामीण,Rural
बैंक,Bank
चाहिये,Should
दें,Allow
मां,Mother
संगीत,music
आपके,your
सहकारी,Cooperative
बनाया,Make
ओङ्,Odar
कांग्रेस,Congress
लग,Look
अवधि,Period
जिसका,Which
जाकर,Go
प्राय:,Often
सिद्धान्त,Theories
जान,life
एस,s
लाल,Red
उनको,to them
अधिकार,Rights
दल,Party
वर्तमान,Present
तभी,Only
पूछा,Asked
अन्दर,Inside
मिट्टी,soil
नदी,River
निर्णय,Decision
जिनमें,Which
जाति,Cast
जायेगा,will go
ग्राम,gram
पड़े,Lying
शब्दों,Words
मान,Values
सामग्री,material
पड़,Fall
छोड़,leave
पति,husband
छोटी,small
सत्य,truth
इनमें,These
जानकारी,Information
सिर्फ,Only
वस्तुओं,Objects
उठा,picking
सारी,all
उनसे,Them
व्यापार,business
याद,remember
पक्ष,side
बाजार,market
पूरे,The
अर्थात्,Namely
हमारा,our
माता,mother
सुधार,improvement
प्रस्ताव,Proposal
उपभोक्ता,Consumer
होंगे,Will
दिए,lamps
अ,a
अलावा,Also
पिछले,last
कहानी,story
बन्द,Locked
राज्यों,States
महत्व,Importance
यद्यपि,Although
डी,D
आकर,Coming
अवसर,chance
दिखाई,Show
नगर,Town
मात्र,Only
पर्याप्त,Enough
निकल,Out
आधुनिक,modern
अन्त,Lastly
जल्दी,soon
सदस्य,Member
सम्बन्धी,Related
सीमा,Limit
बोला,spoke
प्रकाशित,Published
तुम्हें,You
संयुक्त,Joint
चले,Let's go
अपेक्षा,Expect
वैसे,by the way
मांग,demand
उसको,For him
प्रकाश,Light
वास्तविक,Actual
पंजाब,Punjab
स्वरूप,Nature
भावना,feeling
अवस्था,Phase
करे,do
प्रेम,Love
प्रकट,Revealed
लेना,to take
मृत्यु,Death
नेता,leader
हजार,Thousand
पुन:,Again
चुके,Have
संबंधित,related
लड़की,girl
लेता,Takes
पुरुष,male
निर्धारित,Determined
विस्तार,Detailed
पहली,First
क्रिया,Verb
सहयोग,help
फसल,crop
रखते,Keeping
पड़ी,Was
कोशिश,try
आशा,hope
अवश्य,Certainly
सम्बन्धित,Related
संघर्ष,struggle
विकसित,Developed
दर,rate
संगठन,Organization
युग,Era
भारी,Heavy
जोर,Thrust
आपने,you
वातावरण,atmosphere
बने,Remain
परिणाम,result
पद,Post
णेत्,Net
जैसी,Like
लगती,Seems
समूह,group
संसार,world
प्रारम्भ,Initially
प्रकृति,Nature
पुत्र,Son
ढंग,behaviour
खड़ा,Stand
संबंधी,Relative
मालूम,Known
बातों,Things
दस,ten
खड़े,Stand
पद्धति,Method
आयात,Import
सिद्ध,Prove
व्यक्तियों,Individuals
लागू,Applied
एम,M
विशिष्ट,Specific
तुम्हारे,Your
वर्षों,Years
मिलने,Meet
पुस्तक,Book
तेल,oil
करनी,To
करेंगे,will do
उच्च,High
लक्ष्य,aim
अभाव,Lack
पांच,Five
चलता,Shows
बैठक,Meeting
चर्चा,Discussion
औद्योगिक,Industrial
बैठ,Down
प्रगति,Progress
आवाज,Voice
राष्ट्र,Nation
चली,Lasted
बीज,seed
गति,Speed
कितना,How much
कल,Tomorrow
उदाहरण,Examples
खर्च,Expenditure
कवि,Poet
सुरक्षा,Security
नियंत्रण,Control
स्कूल,school
परीक्षण,testing
दूध,Milk
बैठे,Sitting
जन,people
आनोन्,Anon
सौ,Hundred
मार्ग,way
इतने,So much
हमने,We
देकर,By
तुलना,Compare
हां,Yes
शासन,Governance
पार्टी,party
तू,You
चुनाव,Election
चारों,Around
शहर,city
मिलती,Get
प्राचीन,Ancient
कमरे,rooms
लगाने,Explore
बनी,Made
प्रयत्न,try
दिशा,Direction
वहीं,The
सारा,Sarah
आदेश,order
फल,Fruit
खाने,Eat
कहां,Where
इनकी,They
योग,Yoga
किसान,Farmer
इनका,Their
पूर्ति,Fulfillment
तकनीकी,technology
कृष्ण,Krishna
कहता,Says
रखना,to keep
नामक,Named
रहना,live
उल्लेख,mention
अधिकारी,Officer
वालों,Those
रिपोर्ट,Report
अच्छे,Good
वर्णन,Description
ऊर्जा,Energy
अत्यन्त,Greatly
रुपए,Rs
थोड़ी,A
बोली,language
अन्ड्,And
आए,Returns
लगाया,Imposed
प्रभावित,influenced
आरम्भ,Early
अधिकांश,majority of
सकें,To
मार्च,March
वास्तव,Reality
चुकी,Has
खुद,Myself
क,K
गुण,a quality
स्थित,Located
महीने,Month
पा,Pa
इच्छा,desire
आयी,Came
साधन,Resources
पौधों,Plants
खेती,farming
अध्यक्ष,director
व्यापक,Comprehensive
चिकित्सा,Treatment
कहने,Say
अनुमान,an estimate
धन,Wealth
सभा,Assembly
रस,Juice
मुद्रा,Currency
आपका,your
आकार,Shape
इधर,here
मिली,Found
मामले,Case
दक्षिण,South
वक्त,time
समझा,Understood
राशि,Amount
माँ,mother
सहायक,Assistant
विरोध,against
नियम,Rule
श्चिएन्चे,Shcianche
मानते,Treats
ंएडिअ,Nadia
साफ,clean
प्रचार,Publicity
किंतु,But
आत्मा,Spirit
भोजन,food
बी,B
सम्पूर्ण,total
सफल,Successful
कितनी,How
समस्त,All
लागत,Cost
राजनीतिक,Political
मानसिक,Mental
बराबर,equal
धार्मिक,Religious
उधर,There
आयु,Age
आपकी,your
सुविधा,Facility
लें,Take
पदार्थ,matter
विदेशी,foreigner
लक्षण,Symptoms
रक्षा,Defence
सिंचाई,Irrigation
नयी,Latest
व्यक्तित्व,the personality
बैठा,Seated
कर्मचारियों,Staff
आयोग,Commission
मुंह,mouth
बोर्ड,Board
खोज,Search
किस्म,Variety
व्यक्त,Expressed
प्रवेश,enter
रेखा,Line
कल्पना,imagination
राजस्थान,Rajasthan
करेगा,Will
इन्हें,They
व्यवसाय,Business
राज,rule
इस्तेमाल,Used
लेखक,Author
प्राप्ति,Receipt
कितने,How many
कानून,Law
जिन्हें,That
ख,B
कार्यों,Actions
अंग्रेजी,English
साधारण,Simple
सुन्दर,Beautiful
सीमित,Limited
स्वास्थ्य,Health
नष्ट,Destroyed
जिनके,With
जानते,Know
जानता,knows
माननीय,Honourable
आधारित,Based
उप,Sub
व्यय,the expense
आय,Income
शैली,Style
वापस,back
छोड़कर,Excluding
चित्रों,Pictures
होनी,Have
संभव,possible
शेष,remainder
मई,May
बनाये,Make
आम,Mango
निकट,Close
तेजी,Fast
डा,Dr
आर,R
परीक्षा,exam
गैस,Gas
क्षेत्रीय,Regional
उपयुक्त,Suitable
अंग,Organ
रहेगा,Will
निर्भर,Dependent
जाएगी,Will
जरूरत,Need
कपड़े,dresses
मुक्त,Free
मानक,standard
नया,new
जांच,the inspection
हरियाणा,Haryana
सका,Could
खड़ी,Vertical
किसानों,Farmers
करो,Women
भविष्य,Future
दुनिया,world
सम्भव,Possible
संस्थान,Institute
भूमिका,Role
पुस्तकालय,Library
तत्व,Element
शिक्षण,Teaching
प्रसिद्ध,famous
तौर,Mark
चाहती,Wants
सो,s / o
सेना,Army
मकान,House
पाता,Finds
कठिन,Tough
औ,Au
लाने,Bring
घटना,incident
रूपये,Rs
प्राकृतिक,Natural
जितना,As
अन्तर,Gap
सीधे,Straight
बदल,change
प्रधान,Prime
नए,new
इसीलिए,Why
सुख,happiness
परम्परा,Tradition
थोड़ा,Little
मिले,meet
समितियों,Committees
मार,Kill
बिहार,Bihar
पड़ती,Mists
सात,Seven
खाना,food
पौधे,Plants
लघु,Small
यात्रा,journey
वितरण,Delivery
बंद,Close
पूजा,prayer
नजर,vision
सदस्यों,Members
बुद्धि,wisdom
बिक्री,Sale
तुम्हारी,Your
खेल,sport
ळिटेरटुरे,Laiterture
मंत्रालय,Ministry
लड़के,Boy
पैसा,Money
वायु,Wind
सवाल,Question
विस्तृत,Detailed
सम्मेलन,the seminar
वित्तीय,Financial
लगते,Takes
प्रकाशन,Publishing
आयोजित,Held
सच,truth
विश्लेषण,Analysis
रोजगार,Employment
अरे,Hey
अधिकारियों,Officials
मिलते,See
निम्नलिखित,Following
टी,Tee
राजनीति,Politics
बोले,Speak
पश्चिम,West
धारा,section
प्रमाण,Evidence
पेड़,Tree
निगम,Corporation
मूल्यांकन,Evaluation
महोदय,Sir
गाँव,village
अधिनियम,Act
श्रम,Labour
जमा,deposit
चेहरे,Facial
चलते,Go
अप्रैल,April
अन्तिम,Final
सुबह,morning
सत्ता,power
योग्य,Suitable
निर्यात,Export
जिसकी,Which
समस्याओं,the problems
शाम,evening
विचारों,Ideas
मीटर,Meter
प्रचलित,Prevailing